"","team","Goals","Assists","Shots","Shots on Goal","Saves","Penalties Scored","Penalty Kicks","Crosses","Corner Kicks","Passes","Offside","Fouls Committed","Cautions/Yellow Cards","Red Cards","Ball Possession","date","Opponent","GameID","home_away"
"X1","ARS","4","4","27","10","0","0","0","25","9","554","5","9","0","0","65%","20170811","LEI","ARSvLEI20170811","home"
"X3","LEI","3","3","6","3","6","0","0","26","4","173","3","12","1","0","35%","20170811","ARS","ARSvLEI20170811","away"
"X11","BHA","0","0","6","2","3","0","0","8","3","130","6","6","0","0","28%","20170812","MCI","BHAvMCI20170812","home"
"X31","MCI","2","1","14","4","2","0","0","31","10","701","1","9","2","0","72%","20170812","BHA","BHAvMCI20170812","away"
"X12","CRY","0","0","14","4","4","0","0","31","12","331","0","7","1","0","55%","20170812","HUD","CRYvHUD20170812","home"
"X32","HUD","3","2","8","6","4","0","0","20","9","217","2","19","3","0","45%","20170812","CRY","CRYvHUD20170812","away"
"X13","EVE","1","1","9","4","1","0","0","22","6","416","2","13","1","0","58%","20170812","STK","EVEvSTK20170812","home"
"X33","STK","0","0","9","1","3","0","0","30","7","226","6","10","1","0","42%","20170812","EVE","EVEvSTK20170812","away"
"X14","SOU","0","0","29","2","0","0","0","37","13","457","0","10","2","0","57%","20170812","SWA","SOUvSWA20170812","home"
"X34","SWA","0","0","4","0","2","0","0","11","0","284","1","13","1","0","43%","20170812","SOU","SOUvSWA20170812","away"
"X15","WAT","3","1","9","4","2","0","0","22","3","292","3","14","0","0","48%","20170812","LIV","WATvLIV20170812","home"
"X35","LIV","3","2","14","5","1","1","1","16","3","370","1","8","3","0","52%","20170812","WAT","WATvLIV20170812","away"
"X16","WBA","1","1","16","6","2","0","0","24","8","171","2","15","3","0","37%","20170812","BOU","WBAvBOU20170812","home"
"X36","BOU","0","0","9","2","5","0","0","30","2","562","0","3","1","0","63%","20170812","WBA","WBAvBOU20170812","away"
"X17","MUN","4","4","22","6","1","0","0","22","11","419","1","19","2","0","55%","20170813","WHU","MUNvWHU20170813","home"
"X37","WHU","0","0","9","1","2","0","0","16","1","318","4","7","2","0","45%","20170813","MUN","MUNvWHU20170813","away"
"X18","NEW","0","0","6","3","4","0","0","19","5","190","2","6","1","1","32%","20170813","TOT","NEWvTOT20170813","home"
"X38","TOT","2","2","18","6","3","0","0","23","7","668","1","10","2","0","68%","20170813","NEW","NEWvTOT20170813","away"
"X19","BOU","0","0","6","2","5","0","0","27","8","371","1","6","1","0","54%","20170819","WAT","BOUvWAT20170819","home"
"X39","WAT","2","0","19","7","2","0","0","33","5","291","7","14","3","0","46%","20170819","BOU","BOUvWAT20170819","away"
"X110","BUR","0","0","20","0","0","0","0","33","5","410","1","11","1","0","64%","20170819","WBA","BURvWBA20170819","home"
"X310","WBA","1","1","8","1","0","0","0","15","5","128","3","11","0","1","36%","20170819","BUR","BURvWBA20170819","away"
"X111","LEI","2","1","14","4","2","0","0","22","6","354","1","8","1","0","48%","20170819","BHA","LEIvBHA20170819","home"
"X311","BHA","0","0","5","2","2","0","0","19","2","452","2","10","0","0","52%","20170819","LEI","LEIvBHA20170819","away"
"X112","LIV","1","0","23","13","1","0","0","30","4","623","2","12","1","0","64%","20170819","CRY","LIVvCRY20170819","home"
"X312","CRY","0","0","4","1","12","0","0","13","2","184","4","13","3","0","36%","20170819","LIV","LIVvCRY20170819","away"
"X113","STK","1","1","11","4","6","0","0","13","2","134","4","6","0","0","33%","20170819","ARS","STKvARS20170819","home"
"X313","ARS","0","0","18","6","3","0","0","31","9","650","3","11","0","0","67%","20170819","STK","STKvARS20170819","away"
"X114","SWA","0","0","6","1","4","0","0","25","3","343","1","12","1","0","42%","20170819","MUN","SWAvMUN20170819","home"
"X314","MUN","4","3","17","8","1","0","0","22","5","523","0","11","1","0","58%","20170819","SWA","SWAvMUN20170819","away"
"X115","HUD","1","1","7","3","5","0","0","21","7","372","4","13","3","0","55%","20170820","NEW","HUDvNEW20170820","home"
"X315","NEW","0","0","13","5","2","0","0","19","3","312","5","10","4","0","45%","20170820","HUD","HUDvNEW20170820","away"
"X116","TOT","1","0","18","6","0","0","0","44","14","529","0","14","4","0","62%","20170820","CHE","TOTvCHE20170820","home"
"X316","CHE","2","1","9","2","6","0","0","16","3","203","0","21","3","0","38%","20170820","TOT","TOTvCHE20170820","away"
"X117","MCI","1","0","19","6","1","0","0","29","7","465","0","7","1","1","61%","20170821","EVE","MCIvEVE20170821","home"
"X317","EVE","1","1","7","2","5","0","0","10","1","213","3","9","2","1","39%","20170821","MCI","MCIvEVE20170821","away"
"X118","BOU","1","0","9","3","6","0","0","13","2","170","0","13","5","0","35%","20170826","MCI","BOUvMCI20170826","home"
"X318","MCI","2","2","19","8","2","0","0","35","5","559","3","14","4","1","65%","20170826","BOU","BOUvMCI20170826","away"
"X119","CRY","0","0","16","3","1","0","0","26","1","434","0","9","4","0","50%","20170826","SWA","CRYvSWA20170826","home"
"X319","SWA","2","2","7","3","3","0","0","5","1","381","3","6","1","0","50%","20170826","CRY","CRYvSWA20170826","away"
"X120","HUD","0","0","16","6","2","0","0","36","5","301","0","10","0","0","48%","20170826","SOU","HUDvSOU20170826","home"
"X320","SOU","0","0","6","3","6","0","0","10","4","404","3","10","1","0","52%","20170826","HUD","HUDvSOU20170826","away"
"X121","MUN","2","2","22","7","4","0","1","46","9","596","2","8","1","0","65%","20170826","LEI","MUNvLEI20170826","home"
"X321","LEI","0","0","11","4","5","0","0","14","3","206","3","7","2","0","35%","20170826","MUN","MUNvLEI20170826","away"
"X122","NEW","3","3","16","8","3","0","0","26","7","176","0","17","1","0","39%","20170826","WHU","NEWvWHU20170826","home"
"X322","WHU","0","0","8","3","5","0","0","15","5","384","2","11","3","0","61%","20170826","NEW","NEWvWHU20170826","away"
"X123","WAT","0","0","8","0","2","0","0","17","3","253","0","7","0","1","43%","20170826","BHA","WATvBHA20170826","home"
"X323","BHA","0","0","16","2","0","0","0","36","11","384","5","18","1","0","57%","20170826","WAT","WATvBHA20170826","away"
"X124","LIV","4","3","18","10","0","0","0","20","4","438","3","6","2","0","51%","20170827","ARS","LIVvARS20170827","home"
"X324","ARS","0","0","8","0","6","0","0","9","3","448","5","9","4","0","49%","20170827","LIV","LIVvARS20170827","away"
"X125","TOT","1","0","28","5","2","0","0","33","10","514","1","9","0","0","66%","20170827","BUR","TOTvBUR20170827","home"
"X325","BUR","1","1","13","3","4","0","0","21","7","210","6","9","0","0","34%","20170827","TOT","TOTvBUR20170827","away"
"X126","WBA","1","1","10","2","1","0","0","37","10","267","2","10","2","0","43%","20170827","STK","WBAvSTK20170827","home"
"X326","STK","1","0","16","2","1","0","0","26","4","403","0","9","2","0","57%","20170827","WBA","WBAvSTK20170827","away"
"X127","ARS","3","3","17","9","2","0","0","21","10","492","4","14","0","0","52%","20170909","BOU","ARSvBOU20170909","home"
"X327","BOU","0","0","7","2","6","0","0","25","3","315","0","10","1","0","48%","20170909","ARS","ARSvBOU20170909","away"
"X128","BHA","3","3","12","6","2","0","0","16","2","376","1","9","2","0","47%","20170909","WBA","BHAvWBA20170909","home"
"X328","WBA","1","1","12","3","3","0","0","33","6","392","1","4","0","0","53%","20170909","BHA","BHAvWBA20170909","away"
"X129","EVE","0","0","12","1","3","0","0","30","7","385","4","14","3","0","49%","20170909","TOT","EVEvTOT20170909","home"
"X329","TOT","3","2","15","6","1","0","0","27","3","407","3","14","1","0","51%","20170909","EVE","EVEvTOT20170909","away"
"X130","LEI","1","0","8","2","4","1","1","26","2","286","1","11","1","0","42%","20170909","CHE","LEIvCHE20170909","home"
"X330","CHE","2","2","16","6","1","0","0","26","9","466","3","8","0","0","58%","20170909","LEI","LEIvCHE20170909","away"
"X131","MCI","5","5","13","10","3","0","0","28","8","685","5","10","2","0","62%","20170909","LIV","MCIvLIV20170909","home"
"X331","LIV","0","0","7","3","5","0","0","11","3","317","2","9","2","1","38%","20170909","MCI","MCIvLIV20170909","away"
"X132","SOU","0","0","9","1","1","0","0","27","7","329","2","8","0","0","52%","20170909","WAT","SOUvWAT20170909","home"
"X332","WAT","2","2","12","3","1","0","0","18","4","287","1","11","0","0","48%","20170909","SOU","SOUvWAT20170909","away"
"X133","STK","2","2","10","5","6","0","0","16","5","256","1","10","0","0","40%","20170909","MUN","STKvMUN20170909","home"
"X333","MUN","2","1","18","8","3","0","0","40","11","523","4","10","0","0","60%","20170909","STK","STKvMUN20170909","away"
"X134","BUR","1","0","4","2","3","0","0","16","3","163","8","8","1","0","38%","20170910","CRY","BURvCRY20170910","home"
"X334","CRY","0","0","23","5","1","0","0","38","13","369","1","14","1","0","62%","20170910","BUR","BURvCRY20170910","away"
"X135","SWA","0","0","10","4","7","0","0","33","7","457","1","11","2","0","60%","20170910","NEW","SWAvNEW20170910","home"
"X335","NEW","1","1","16","8","3","0","0","20","5","247","0","15","3","0","40%","20170910","SWA","SWAvNEW20170910","away"
"X136","WHU","2","1","19","3","2","0","0","36","10","238","0","11","1","0","44%","20170911","HUD","WHUvHUD20170911","home"
"X336","HUD","0","0","10","2","1","0","0","19","3","355","1","14","2","0","56%","20170911","WHU","WHUvHUD20170911","away"
"X137","BOU","2","2","15","3","0","0","0","21","6","575","1","5","0","0","63%","20170915","BHA","BOUvBHA20170915","home"
"X337","BHA","1","1","9","2","1","0","0","16","4","298","1","12","0","0","37%","20170915","BOU","BOUvBHA20170915","away"
"X138","CRY","0","0","14","3","3","0","0","32","5","327","0","14","5","0","46%","20170916","SOU","CRYvSOU20170916","home"
"X338","SOU","1","0","13","4","3","0","0","26","5","417","1","13","1","0","54%","20170916","CRY","CRYvSOU20170916","away"
"X139","HUD","1","1","15","3","0","0","0","43","8","415","3","6","1","0","57%","20170916","LEI","HUDvLEI20170916","home"
"X339","LEI","1","0","10","1","2","1","1","14","4","263","1","6","1","0","43%","20170916","HUD","HUDvLEI20170916","away"
"X140","LIV","1","1","35","9","2","0","0","47","12","615","1","7","1","0","75%","20170916","BUR","LIVvBUR20170916","home"
"X340","BUR","1","0","5","4","8","0","0","8","2","173","5","9","2","0","25%","20170916","LIV","LIVvBUR20170916","away"
"X141","NEW","2","2","14","3","3","0","0","19","7","225","2","13","3","0","44%","20170916","STK","NEWvSTK20170916","home"
"X341","STK","1","1","13","4","1","0","0","22","5","346","1","11","1","0","56%","20170916","NEW","NEWvSTK20170916","away"
"X142","TOT","0","0","26","8","0","0","0","53","11","686","0","11","1","0","67%","20170916","SWA","TOTvSWA20170916","home"
"X342","SWA","0","0","4","0","8","0","0","10","1","165","0","9","3","0","33%","20170916","TOT","TOTvSWA20170916","away"
"X143","WAT","0","0","6","1","4","0","0","12","3","237","2","8","2","0","37%","20170916","MCI","WATvMCI20170916","home"
"X343","MCI","6","5","29","10","1","1","1","30","11","602","0","7","0","0","63%","20170916","WAT","WATvMCI20170916","away"
"X144","WBA","0","0","6","1","1","0","0","15","2","236","3","15","2","0","40%","20170916","WHU","WBAvWHU20170916","home"
"X344","WHU","0","0","9","1","1","0","0","32","3","451","2","7","2","0","60%","20170916","WBA","WBAvWHU20170916","away"
"X145","CHE","0","0","13","4","2","0","0","19","5","426","4","11","2","1","54%","20170917","ARS","CHEvARS20170917","home"
"X345","ARS","0","0","11","2","4","0","0","11","1","426","2","15","3","0","46%","20170917","CHE","CHEvARS20170917","away"
"X146","MUN","4","3","16","7","3","1","1","30","4","422","2","15","1","0","50%","20170917","EVE","MUNvEVE20170917","home"
"X346","EVE","0","0","7","3","3","0","0","13","1","440","3","14","1","0","50%","20170917","MUN","MUNvEVE20170917","away"
"X147","BUR","0","0","5","3","2","0","0","14","3","358","5","9","3","0","50%","20170923","HUD","BURvHUD20170923","home"
"X347","HUD","0","0","9","2","3","0","0","18","4","350","4","13","2","0","50%","20170923","BUR","BURvHUD20170923","away"
"X148","EVE","2","1","12","4","3","0","0","27","4","372","3","12","3","0","48%","20170923","BOU","EVEvBOU20170923","home"
"X348","BOU","1","1","8","4","1","0","0","23","6","354","1","11","1","0","52%","20170923","EVE","EVEvBOU20170923","away"
"X149","LEI","2","1","12","7","3","0","1","27","3","266","4","13","3","0","47%","20170923","LIV","LEIvLIV20170923","home"
"X349","LIV","3","2","23","6","5","0","0","18","6","365","1","14","3","0","53%","20170923","LEI","LEIvLIV20170923","away"
"X150","MCI","5","5","25","9","0","0","0","41","8","682","0","6","3","0","70%","20170923","CRY","MCIvCRY20170923","home"
"X350","CRY","0","0","5","0","4","0","0","12","2","224","1","7","1","0","30%","20170923","MCI","MCIvCRY20170923","away"
"X151","SOU","0","0","14","4","3","0","0","31","8","472","3","11","1","0","60%","20170923","MUN","SOUvMUN20170923","home"
"X351","MUN","1","0","9","4","3","0","0","11","4","303","2","10","4","0","40%","20170923","SOU","SOUvMUN20170923","away"
"X152","STK","0","0","13","2","0","0","0","32","5","348","0","5","2","0","46%","20170923","CHE","STKvCHE20170923","home"
"X352","CHE","4","3","7","4","2","0","0","5","0","466","1","14","2","0","54%","20170923","STK","STKvCHE20170923","away"
"X153","SWA","1","0","10","3","2","0","0","32","5","361","0","9","1","0","50%","20170923","WAT","SWAvWAT20170923","home"
"X353","WAT","2","1","8","4","2","0","0","19","4","358","3","16","3","0","50%","20170923","SWA","SWAvWAT20170923","away"
"X154","WHU","2","2","10","4","2","0","0","30","4","296","6","10","4","0","48%","20170923","TOT","WHUvTOT20170923","home"
"X354","TOT","3","1","15","5","2","0","0","18","3","332","5","20","2","1","52%","20170923","WHU","WHUvTOT20170923","away"
"X155","BHA","1","1","7","3","5","0","0","30","2","354","1","6","2","0","50%","20170924","NEW","BHAvNEW20170924","home"
"X355","NEW","0","0","17","5","2","0","0","27","8","396","0","8","1","0","50%","20170924","BHA","BHAvNEW20170924","away"
"X156","ARS","2","0","16","6","2","1","1","22","7","558","0","8","1","0","65%","20170925","WBA","ARSvWBA20170925","home"
"X356","WBA","0","0","7","3","4","0","0","17","4","202","0","17","4","0","35%","20170925","ARS","ARSvWBA20170925","away"
"X157","BOU","0","0","19","4","1","0","0","33","7","445","1","6","1","0","64%","20170930","LEI","BOUvLEI20170930","home"
"X357","LEI","0","0","8","1","4","0","0","19","5","231","3","10","0","0","36%","20170930","BOU","BOUvLEI20170930","away"
"X158","CHE","0","0","4","2","4","0","0","15","4","347","8","8","0","0","40%","20170930","MCI","CHEvMCI20170930","home"
"X358","MCI","1","1","17","6","2","0","0","25","8","588","0","13","2","0","60%","20170930","CHE","CHEvMCI20170930","away"
"X159","HUD","0","0","6","1","3","0","0","23","4","295","4","7","1","0","43%","20170930","TOT","HUDvTOT20170930","home"
"X359","TOT","4","3","14","7","1","0","0","24","7","485","2","4","1","0","57%","20170930","HUD","HUDvTOT20170930","away"
"X160","MUN","4","4","18","7","1","0","0","24","6","507","2","6","0","0","56%","20170930","CRY","MUNvCRY20170930","home"
"X360","CRY","0","0","6","1","3","0","0","28","5","326","1","9","0","0","44%","20170930","MUN","MUNvCRY20170930","away"
"X161","STK","2","2","17","6","2","0","1","17","5","184","1","11","1","0","33%","20170930","SOU","STKvSOU20170930","home"
"X361","SOU","1","1","21","3","4","0","0","26","6","558","3","10","2","0","67%","20170930","STK","STKvSOU20170930","away"
"X162","WBA","2","1","9","4","1","0","0","21","7","210","1","12","3","0","40%","20170930","WAT","WBAvWAT20170930","home"
"X362","WAT","2","2","15","3","2","0","0","35","6","478","1","11","0","0","60%","20170930","WBA","WBAvWAT20170930","away"
"X163","WHU","1","1","9","4","1","0","0","28","2","321","1","15","3","0","47%","20170930","SWA","WHUvSWA20170930","home"
"X363","SWA","0","0","6","1","3","0","0","20","1","455","0","13","2","0","53%","20170930","WHU","WHUvSWA20170930","away"
"X164","ARS","2","1","25","11","1","0","0","19","6","631","2","7","0","0","61%","20171001","BHA","ARSvBHA20171001","home"
"X364","BHA","0","0","9","1","6","0","0","22","5","290","3","8","2","0","39%","20171001","ARS","ARSvBHA20171001","away"
"X165","EVE","0","0","23","4","1","0","0","42","9","412","1","14","2","0","58%","20171001","BUR","EVEvBUR20171001","home"
"X365","BUR","1","1","5","2","4","0","0","20","3","194","1","7","2","0","42%","20171001","EVE","EVEvBUR20171001","away"
"X166","NEW","1","0","8","5","1","0","0","10","1","210","1","11","1","0","35%","20171001","LIV","NEWvLIV20171001","home"
"X366","LIV","1","0","17","2","4","0","0","30","5","553","2","6","1","0","65%","20171001","NEW","NEWvLIV20171001","away"
"X167","BUR","1","1","20","5","5","0","0","37","7","400","2","11","2","0","55%","20171014","WHU","BURvWHU20171014","home"
"X367","WHU","1","1","8","6","4","0","0","9","4","206","1","14","2","1","45%","20171014","BUR","BURvWHU20171014","away"
"X168","CRY","2","2","14","5","4","0","0","16","5","349","1","7","2","0","47%","20171014","CHE","CRYvCHE20171014","home"
"X368","CHE","1","1","15","5","4","0","0","24","8","480","6","6","1","0","53%","20171014","CRY","CRYvCHE20171014","away"
"X169","LIV","0","0","19","5","1","0","0","34","7","540","3","7","0","0","59%","20171014","MUN","LIVvMUN20171014","home"
"X369","MUN","0","0","6","1","5","0","0","15","3","282","1","13","2","0","41%","20171014","LIV","LIVvMUN20171014","away"
"X170","MCI","7","7","20","11","0","0","0","32","5","834","2","5","0","0","72%","20171014","STK","MCIvSTK20171014","home"
"X370","STK","2","1","5","1","4","0","0","2","0","166","1","8","1","0","28%","20171014","MCI","MCIvSTK20171014","away"
"X171","SWA","2","2","7","3","2","0","0","20","5","298","1","12","1","0","41%","20171014","HUD","SWAvHUD20171014","home"
"X371","HUD","0","0","7","2","1","0","0","23","3","463","0","16","5","0","59%","20171014","SWA","SWAvHUD20171014","away"
"X172","TOT","1","0","18","6","1","0","0","40","9","644","3","9","1","0","69%","20171014","BOU","TOTvBOU20171014","home"
"X372","BOU","0","0","5","1","5","0","0","14","5","186","1","7","3","0","31%","20171014","TOT","TOTvBOU20171014","away"
"X173","WAT","2","0","11","3","5","1","1","31","2","383","1","8","1","0","51%","20171014","ARS","WATvARS20171014","home"
"X373","ARS","1","1","9","6","1","0","0","18","5","460","0","10","0","0","49%","20171014","WAT","WATvARS20171014","away"
"X174","BHA","1","1","12","3","5","0","0","30","7","298","5","12","4","0","49%","20171015","EVE","BHAvEVE20171015","home"
"X374","EVE","1","0","13","6","2","1","1","20","1","370","1","10","1","0","51%","20171015","BHA","BHAvEVE20171015","away"
"X175","SOU","2","1","12","2","2","1","1","24","3","509","1","11","1","0","60%","20171015","NEW","SOUvNEW20171015","home"
"X375","NEW","2","0","19","5","0","0","0","29","8","264","0","12","2","0","40%","20171015","SOU","SOUvNEW20171015","away"
"X176","LEI","1","1","11","3","0","0","0","35","4","386","1","13","2","0","55%","20171016","WBA","LEIvWBA20171016","home"
"X376","WBA","1","0","5","1","2","0","0","14","1","276","1","6","2","0","45%","20171016","LEI","LEIvWBA20171016","away"
"X177","WHU","0","0","16","2","2","0","0","46","10","547","3","5","1","0","65%","20171020","BHA","WHUvBHA20171020","home"
"X377","BHA","3","2","7","5","2","1","1","10","3","254","1","13","0","0","35%","20171020","WHU","WHUvBHA20171020","away"
"X178","CHE","4","3","14","8","3","0","0","19","6","387","6","13","2","0","54%","20171021","WAT","CHEvWAT20171021","home"
"X378","WAT","2","1","16","5","4","0","0","30","6","332","3","16","3","0","46%","20171021","CHE","CHEvWAT20171021","away"
"X179","HUD","2","1","5","3","2","0","0","13","4","135","2","10","4","0","28%","20171021","MUN","HUDvMUN20171021","home"
"X379","MUN","1","1","9","3","1","0","0","35","7","674","3","12","2","0","72%","20171021","HUD","HUDvMUN20171021","away"
"X180","MCI","3","2","15","10","0","1","1","25","4","764","1","10","2","0","72%","20171021","BUR","MCIvBUR20171021","home"
"X380","BUR","0","0","6","0","7","0","0","15","5","167","2","6","3","0","28%","20171021","MCI","MCIvBUR20171021","away"
"X181","NEW","1","0","7","3","0","0","0","19","3","393","0","12","4","0","52%","20171021","CRY","NEWvCRY20171021","home"
"X381","CRY","0","0","10","0","2","0","0","25","5","298","1","14","2","0","48%","20171021","NEW","NEWvCRY20171021","away"
"X182","SOU","1","0","20","6","2","0","0","35","8","508","2","10","0","0","65%","20171021","WBA","SOUvWBA20171021","home"
"X382","WBA","0","0","7","2","5","0","0","16","3","210","1","8","1","0","35%","20171021","SOU","SOUvWBA20171021","away"
"X183","STK","1","1","10","2","1","0","0","38","8","313","4","18","0","0","51%","20171021","BOU","STKvBOU20171021","home"
"X383","BOU","2","1","7","3","1","1","1","13","3","288","1","10","1","0","49%","20171021","STK","STKvBOU20171021","away"
"X184","SWA","1","1","19","4","5","0","0","39","7","418","0","6","0","0","58%","20171021","LEI","SWAvLEI20171021","home"
"X384","LEI","2","1","11","6","3","0","0","25","6","279","3","9","1","0","42%","20171021","SWA","SWAvLEI20171021","away"
"X185","EVE","2","0","8","3","9","0","0","16","0","214","2","14","1","1","39%","20171022","ARS","EVEvARS20171022","home"
"X385","ARS","5","4","30","14","1","0","0","25","7","534","1","14","1","0","61%","20171022","EVE","EVEvARS20171022","away"
"X186","TOT","4","2","14","6","6","0","0","12","3","299","1","2","0","0","38%","20171022","LIV","TOTvLIV20171022","home"
"X386","LIV","1","1","12","7","1","0","0","33","5","563","2","8","1","0","62%","20171022","TOT","TOTvLIV20171022","away"
"X187","CHE","2","2","19","6","2","0","0","35","8","472","2","16","3","2","60%","20170812","BUR","CHEvBUR20170812","home"
"X387","BUR","3","3","10","5","4","0","0","17","5","260","1","11","3","0","40%","20170812","CHE","CHEvBUR20170812","away"
"X188","SOU","3","1","14","5","6","2","2","28","7","497","1","18","1","0","62%","20170819","WHU","SOUvWHU20170819","home"
"X388","WHU","2","0","16","8","2","0","0","17","2","201","0","10","1","1","38%","20170819","SOU","SOUvWHU20170819","away"
"X189","CHE","2","2","18","7","0","0","0","21","6","512","0","12","2","0","56%","20170827","EVE","CHEvEVE20170827","home"
"X389","EVE","0","0","7","0","5","0","0","15","3","368","0","7","2","0","44%","20170827","CHE","CHEvEVE20170827","away"
